champion,position,rank
KSante,middle,emerald
KSante,top,emerald
Yone,top,emerald
Viktor,middle,emerald
Jayce,middle,emerald
Aatrox,top,emerald
Jayce,top,emerald
Jayce,middle,emerald
Jayce,middle,emerald
Akali,middle,emerald
Jayce,middle,emerald
Jayce,middle,emerald
Jayce,middle,emerald
Viktor,middle,emerald
Tristana,middle,emerald
Yasuo,middle,emerald
Sylas,middle,emerald
Malphite,top,emerald
Sylas,middle,emerald
Viktor,middle,emerald
Orianna,middle,emerald
Leblanc,middle,emerald
Darius,top,emerald
Renekton,top,emerald
Darius,top,emerald
Teemo,top,emerald
Darius,top,emerald
Kennen,top,emerald
Darius,top,emerald
Teemo,top,emerald
Katarina,middle,emerald
Diana,middle,emerald
Draven,bottom,emerald
Lucian,bottom,emerald
Kaisa,bottom,emerald
Ezreal,bottom,emerald
Caitlyn,bottom,emerald
Jayce,top,emerald
Kaisa,bottom,emerald
Tristana,bottom,emerald
Sivir,bottom,emerald
Zeri,bottom,emerald
Syndra,middle,emerald
Yone,middle,emerald
Veigar,middle,emerald
Veigar,middle,emerald
Veigar,middle,emerald
Ziggs,bottom,emerald
Chogath,middle,emerald
Veigar,middle,emerald
Fizz,middle,emerald
Syndra,middle,emerald
Azir,middle,emerald
Ahri,middle,emerald
Kassadin,middle,emerald
Taliyah,jungle,emerald
Leblanc,middle,emerald
Gnar,top,emerald
Camille,top,emerald
Shaco,jungle,emerald
Elise,utility,emerald
Elise,jungle,emerald
Shaco,jungle,emerald
Evelynn,jungle,emerald
Evelynn,jungle,emerald
Lux,utility,emerald
Elise,utility,emerald
Elise,jungle,emerald
Elise,utility,emerald
Aphelios,bottom,emerald
Twitch,bottom,emerald
Twitch,bottom,emerald
Twitch,bottom,emerald
Twitch,bottom,emerald
Evelynn,jungle,emerald
Yone,middle,emerald
Naafiri,middle,emerald
Katarina,middle,emerald
Katarina,middle,emerald
Katarina,middle,emerald
Syndra,middle,emerald
Irelia,middle,emerald
Katarina,middle,emerald
Katarina,middle,emerald
Katarina,middle,emerald
Aatrox,top,emerald
Camille,top,emerald
Jax,top,emerald
Aatrox,top,emerald
Graves,jungle,emerald
Graves,jungle,emerald
Ezreal,bottom,emerald
Ezreal,bottom,emerald
Vayne,bottom,emerald
Caitlyn,bottom,emerald
Zoe,middle,emerald
Xayah,bottom,emerald
Singed,top,emerald
Singed,top,emerald
Sion,top,emerald
Singed,top,emerald
Fiora,top,emerald
Fiora,top,emerald
Aatrox,top,emerald
Aatrox,top,emerald
Fiora,top,emerald
Fiora,top,emerald
Ornn,top,emerald
Fiora,top,emerald
Graves,jungle,emerald
Graves,jungle,emerald
Vi,jungle,emerald
Graves,jungle,emerald
Vi,jungle,emerald
Graves,jungle,emerald
Graves,jungle,emerald
Vi,jungle,emerald
Graves,jungle,emerald
Pantheon,middle,emerald
Syndra,middle,emerald
Orianna,middle,emerald
Sylas,middle,emerald
Syndra,middle,emerald
Orianna,middle,emerald
Malphite,top,emerald
Tryndamere,top,emerald
Jax,top,emerald
Malphite,top,emerald
Tryndamere,top,emerald
Sion,top,emerald
Tryndamere,top,emerald
Jax,top,emerald
Tryndamere,top,emerald
Kalista,bottom,emerald
Draven,bottom,emerald
Draven,bottom,emerald
Draven,bottom,emerald
Kaisa,bottom,emerald
Draven,bottom,emerald
Ezreal,bottom,emerald
Graves,jungle,emerald
Rengar,jungle,emerald
Zed,middle,emerald
Orianna,middle,emerald
Orianna,middle,emerald
Zed,middle,emerald
Zed,middle,emerald
Zyra,utility,emerald
Zyra,utility,emerald
Zyra,utility,emerald
Zyra,utility,emerald
Zyra,utility,emerald
MissFortune,bottom,emerald
MissFortune,bottom,emerald
Janna,utility,emerald
Zilean,utility,emerald
Kaisa,bottom,emerald
Rell,utility,emerald
Rell,utility,emerald
Janna,utility,emerald
Nautilus,utility,emerald
Milio,utility,emerald
Akali,middle,emerald
Neeko,middle,emerald
Jayce,middle,emerald
Tristana,middle,emerald
Ahri,middle,emerald
Akali,middle,emerald
Xayah,bottom,emerald
Lux,middle,emerald
Lux,middle,emerald
TwistedFate,middle,emerald
Vladimir,middle,emerald
Thresh,utility,emerald
Viktor,middle,emerald
Viktor,middle,emerald
Thresh,utility,emerald
Vladimir,middle,emerald
Camille,top,emerald
Vladimir,middle,emerald
Thresh,utility,emerald
Lulu,utility,emerald
Milio,utility,emerald
Thresh,utility,emerald
Thresh,utility,emerald
Thresh,utility,emerald
Lulu,utility,emerald
Rakan,utility,emerald
Jhin,bottom,emerald
Tristana,bottom,emerald
Kindred,jungle,emerald
Lillia,jungle,emerald
Kindred,jungle,emerald
Taliyah,jungle,emerald
Lillia,jungle,emerald
JarvanIV,jungle,emerald
Kindred,jungle,emerald
Karthus,jungle,emerald
LeeSin,jungle,emerald
Graves,jungle,emerald
Jax,top,emerald
Jax,top,emerald
Jax,top,emerald
Garen,top,emerald
Aatrox,top,emerald
Aatrox,top,emerald
Xayah,bottom,emerald
Ashe,bottom,emerald
Shyvana,jungle,emerald
Lux,utility,emerald
TwistedFate,middle,emerald
TwistedFate,middle,emerald
Azir,middle,emerald
Tristana,middle,emerald
Katarina,middle,emerald
Shyvana,jungle,emerald
Aphelios,bottom,emerald
Kaisa,bottom,emerald
Kaisa,bottom,emerald
Kaisa,bottom,emerald
Aphelios,bottom,emerald
Aphelios,bottom,emerald
Kaisa,bottom,emerald
Aphelios,bottom,emerald
Mordekaiser,top,emerald
Malphite,top,emerald
Gangplank,top,emerald
Mordekaiser,top,emerald
Gangplank,top,emerald
Kayle,top,emerald
Lux,utility,emerald
Gangplank,middle,emerald
Gangplank,top,emerald
Gangplank,top,emerald
Garen,top,emerald
Volibear,top,emerald
Olaf,top,emerald
Blitzcrank,utility,emerald
Ezreal,bottom,emerald
Jhin,bottom,emerald
Jhin,bottom,emerald
Ezreal,bottom,emerald
Caitlyn,bottom,emerald
Caitlyn,bottom,emerald
Ezreal,bottom,emerald
Alistar,utility,emerald
Caitlyn,bottom,emerald
Ezreal,bottom,emerald
Twitch,bottom,emerald
Ezreal,bottom,emerald
Nilah,bottom,emerald
Samira,bottom,emerald
Ezreal,bottom,emerald
Thresh,utility,emerald
Morgana,utility,emerald
Samira,bottom,emerald
TwistedFate,middle,emerald
Ahri,middle,emerald
TwistedFate,middle,emerald
Ahri,middle,emerald
Orianna,middle,emerald
Ahri,middle,emerald
Ahri,middle,emerald
Orianna,middle,emerald
Kassadin,middle,emerald
Orianna,middle,emerald
Seraphine,utility,emerald
Karma,utility,emerald
Seraphine,bottom,emerald
Seraphine,bottom,emerald
Lux,bottom,emerald
Lux,bottom,emerald
Seraphine,bottom,emerald
Rakan,utility,emerald
Yasuo,middle,emerald
Yasuo,middle,emerald
Yasuo,middle,emerald
Yasuo,middle,emerald
Yasuo,bottom,emerald
Yasuo,middle,emerald
Jax,middle,emerald
Yasuo,middle,emerald
Yasuo,middle,emerald
Yasuo,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Alistar,utility,emerald
Nautilus,utility,emerald
Rakan,utility,emerald
Pyke,utility,emerald
AurelionSol,middle,emerald
Lissandra,middle,emerald
Leblanc,middle,emerald
Kaisa,middle,emerald
Yone,middle,emerald
Neeko,middle,emerald
Darius,top,emerald
MissFortune,bottom,emerald
Caitlyn,bottom,emerald
Lucian,bottom,emerald
Samira,bottom,emerald
Lucian,bottom,emerald
Vayne,bottom,emerald
Samira,bottom,emerald
Lucian,bottom,emerald
Samira,bottom,emerald
Lucian,bottom,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Lux,utility,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Rengar,jungle,emerald
Nocturne,jungle,emerald
Ekko,top,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,middle,emerald
Ekko,top,emerald
Aatrox,invalid,emerald
Aatrox,top,emerald
MasterYi,jungle,emerald
MasterYi,jungle,emerald
MonkeyKing,jungle,emerald
Aatrox,top,emerald
Aatrox,top,emerald
Aatrox,top,emerald
Renekton,top,emerald
Shyvana,jungle,emerald
Nunu,jungle,emerald
Olaf,top,emerald
Shyvana,jungle,emerald
Olaf,top,emerald
Olaf,top,emerald
Ryze,middle,emerald
Ryze,middle,emerald
Morgana,utility,emerald
Ryze,middle,emerald
Zilean,utility,emerald
Milio,utility,emerald
Ryze,middle,emerald
Kaisa,bottom,emerald
Ziggs,bottom,emerald
Illaoi,top,emerald
Sejuani,jungle,emerald
Yorick,top,emerald
Illaoi,top,emerald
Illaoi,top,emerald
Illaoi,top,emerald
Illaoi,top,emerald
Illaoi,top,emerald
Yorick,top,emerald
Zed,middle,emerald
Camille,top,emerald
Diana,jungle,emerald
Briar,jungle,emerald
Briar,jungle,emerald
Briar,jungle,emerald
Briar,jungle,emerald
Zed,middle,emerald
Riven,top,emerald
Briar,jungle,emerald
Senna,utility,emerald
Senna,utility,emerald
Senna,utility,emerald
Kayle,top,emerald
Kayle,middle,emerald
Kayle,top,emerald
Kayle,top,emerald
Kayle,middle,emerald
Kayle,top,emerald
Kayle,top,emerald
Kayle,top,diamond
Kennen,top,diamond
Neeko,middle,diamond
Maokai,jungle,diamond
Akali,middle,diamond
Akali,middle,diamond
JarvanIV,jungle,diamond
JarvanIV,jungle,diamond
JarvanIV,jungle,diamond
RekSai,jungle,diamond
RekSai,jungle,diamond
Graves,jungle,diamond
JarvanIV,jungle,diamond
Graves,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Jhin,bottom,diamond
Jhin,bottom,diamond
Jhin,bottom,diamond
Jhin,bottom,diamond
Jhin,bottom,diamond
Renata,utility,diamond
Jhin,bottom,diamond
Jinx,bottom,diamond
Thresh,utility,diamond
Jhin,bottom,diamond
Sylas,middle,diamond
Lux,middle,diamond
Lux,middle,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Lulu,utility,diamond
Soraka,utility,diamond
Zyra,utility,diamond
Soraka,utility,diamond
Fizz,middle,diamond
Graves,jungle,diamond
Kayn,jungle,diamond
Kindred,jungle,diamond
Ekko,jungle,diamond
Kayn,jungle,diamond
Fiora,top,diamond
Orianna,middle,diamond
Urgot,top,diamond
Urgot,top,diamond
Ornn,top,diamond
Urgot,top,diamond
Urgot,top,diamond
Urgot,top,diamond
Urgot,top,diamond
Urgot,top,diamond
Urgot,middle,diamond
Zed,middle,diamond
Garen,middle,diamond
Mordekaiser,top,diamond
Lux,middle,diamond
Xayah,bottom,diamond
Ryze,middle,diamond
Neeko,middle,diamond
Tryndamere,top,diamond
Tryndamere,top,diamond
Tryndamere,top,diamond
Tryndamere,top,diamond
Ahri,middle,diamond
Tryndamere,top,diamond
Tryndamere,top,diamond
Tryndamere,top,diamond
Tryndamere,jungle,diamond
Tryndamere,top,diamond
Ziggs,bottom,diamond
Ziggs,bottom,diamond
Ziggs,bottom,diamond
Jinx,bottom,diamond
Ziggs,bottom,diamond
Ziggs,bottom,diamond
Kaisa,bottom,diamond
Ziggs,bottom,diamond
Ziggs,bottom,diamond
Rengar,jungle,diamond
Evelynn,jungle,diamond
Evelynn,jungle,diamond
Khazix,jungle,diamond
Evelynn,jungle,diamond
Aatrox,top,diamond
Renekton,top,diamond
Syndra,middle,diamond
Syndra,middle,diamond
Aatrox,top,diamond
Malphite,top,diamond
Riven,top,diamond
Aatrox,top,diamond
Gwen,top,diamond
Riven,top,diamond
Riven,top,diamond
Gwen,top,diamond
Sylas,middle,diamond
Zed,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Sylas,middle,diamond
Jax,top,diamond
Tryndamere,top,diamond
Jax,top,diamond
Camille,top,diamond
Orianna,middle,diamond
TwistedFate,middle,diamond
Graves,jungle,diamond
Poppy,top,diamond
Ornn,top,diamond
Poppy,top,diamond
Zilean,top,diamond
Sylas,middle,diamond
Taliyah,top,diamond
Ahri,middle,diamond
Cassiopeia,middle,diamond
Orianna,middle,diamond
Zoe,middle,diamond
Varus,bottom,diamond
Ezreal,bottom,diamond
Caitlyn,bottom,diamond
Aphelios,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Swain,bottom,diamond
Xayah,bottom,diamond
Xayah,bottom,diamond
Sylas,middle,diamond
Akali,middle,diamond
Jayce,middle,diamond
Sylas,middle,diamond
Yone,middle,diamond
Qiyana,middle,diamond
Akali,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Amumu,utility,diamond
Blitzcrank,utility,diamond
Thresh,utility,diamond
Amumu,utility,diamond
Mordekaiser,top,diamond
Thresh,utility,diamond
Amumu,utility,diamond
Amumu,utility,diamond
Blitzcrank,utility,diamond
Caitlyn,bottom,diamond
Sivir,bottom,diamond
Sivir,bottom,diamond
Hecarim,jungle,diamond
JarvanIV,jungle,diamond
Hecarim,jungle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Diana,jungle,diamond
LeeSin,jungle,diamond
LeeSin,jungle,diamond
Viego,jungle,diamond
Viego,jungle,diamond
Viego,jungle,diamond
Lillia,jungle,diamond
Nidalee,jungle,diamond
Lillia,jungle,diamond
Nidalee,jungle,diamond
LeeSin,jungle,diamond
LeeSin,jungle,diamond
Viktor,middle,diamond
Nidalee,jungle,diamond
Nidalee,jungle,diamond
Lillia,jungle,diamond
Talon,middle,diamond
Ashe,utility,diamond
Talon,middle,diamond
Talon,middle,diamond
Ekko,middle,diamond
Ekko,middle,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Senna,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Soraka,utility,diamond
Xerath,utility,diamond
Akali,top,diamond
Jax,top,diamond
Jax,top,diamond
Pantheon,top,diamond
Yone,middle,diamond
Sion,top,diamond
Sion,top,diamond
Irelia,middle,diamond
Rumble,top,diamond
Sion,top,diamond
Rumble,middle,diamond
Sion,top,diamond
Rumble,top,diamond
Sion,top,diamond
Hecarim,jungle,diamond
Hecarim,jungle,diamond
Garen,top,diamond
Renekton,top,diamond
Garen,top,diamond
Garen,top,diamond
Hecarim,jungle,diamond
Hecarim,jungle,diamond
Renekton,top,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Lux,utility,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Zyra,utility,diamond
Ornn,top,diamond
Yorick,top,diamond
Sivir,bottom,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Zed,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Sylas,middle,diamond
Yone,middle,diamond
Sylas,middle,diamond
Brand,top,diamond
Sett,top,diamond
Sion,top,diamond
Sett,top,diamond
Vladimir,middle,diamond
Sett,middle,diamond
Pantheon,top,diamond
Sejuani,top,diamond
Kled,top,diamond
Sett,top,diamond
Bard,utility,diamond
Thresh,utility,diamond
Jinx,bottom,diamond
Pyke,utility,diamond
Aphelios,bottom,diamond
Lux,middle,diamond
Thresh,utility,diamond
Pyke,utility,diamond
Braum,utility,diamond
Nami,utility,diamond
Blitzcrank,utility,diamond
Braum,utility,diamond
Braum,utility,diamond
Pyke,utility,diamond
Velkoz,utility,diamond
Pyke,utility,diamond
Pyke,utility,diamond
Pyke,utility,diamond
Nautilus,utility,diamond
Velkoz,utility,diamond
Nautilus,utility,diamond
Pyke,utility,diamond
Pyke,utility,diamond
Twitch,bottom,diamond
Swain,middle,diamond
Karthus,bottom,diamond
Aphelios,bottom,diamond
Aphelios,bottom,diamond
Lucian,bottom,diamond
Ezreal,bottom,diamond
Ezreal,bottom,diamond
Ezreal,bottom,diamond
Aphelios,bottom,diamond
Pyke,utility,diamond
Varus,bottom,diamond
Poppy,top,diamond
Gnar,top,diamond
Ornn,top,diamond
Poppy,top,diamond
Poppy,middle,diamond
Poppy,top,diamond
Poppy,top,diamond
Poppy,top,diamond
Poppy,top,diamond
Poppy,top,diamond
Caitlyn,bottom,diamond
Jinx,bottom,diamond
Caitlyn,bottom,diamond
Zeri,bottom,diamond
Caitlyn,bottom,diamond
Shaco,jungle,diamond
Shaco,jungle,diamond
Shaco,jungle,diamond
Shaco,jungle,diamond
Shaco,jungle,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Kaisa,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Lucian,bottom,diamond
Yasuo,bottom,diamond
Draven,bottom,diamond
Vayne,bottom,diamond
Nami,utility,diamond
Seraphine,bottom,diamond
Samira,bottom,diamond
Nami,utility,diamond
Yone,middle,diamond
Sylas,middle,diamond
Akali,top,diamond
LeeSin,top,diamond
Jax,top,diamond
Olaf,top,diamond
Udyr,top,diamond
Camille,top,diamond
Fiora,top,diamond
Malphite,top,diamond
Jax,top,diamond
Olaf,top,diamond
Irelia,middle,diamond
Maokai,jungle,diamond
Maokai,jungle,diamond
Graves,jungle,diamond
Graves,jungle,diamond
Morgana,jungle,diamond
Graves,jungle,diamond
Lillia,jungle,diamond
Viego,jungle,diamond
Ivern,jungle,diamond
Graves,jungle,diamond
Aatrox,top,diamond
Akali,top,diamond
Hecarim,jungle,diamond
Ekko,jungle,diamond
Kaisa,bottom,diamond
Pantheon,top,diamond
Pantheon,top,diamond
Pantheon,top,diamond
Pantheon,top,diamond
Pantheon,top,diamond
Briar,jungle,diamond
Syndra,middle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Evelynn,jungle,diamond
Briar,jungle,diamond
Briar,jungle,diamond
Evelynn,jungle,diamond
RekSai,jungle,diamond
RekSai,jungle,diamond
RekSai,jungle,diamond
Sona,utility,diamond
Sona,utility,diamond
Senna,utility,diamond
Sona,utility,diamond
Soraka,utility,diamond
Sona,utility,diamond
Sona,utility,diamond
Janna,utility,diamond
Evelynn,jungle,diamond
Kayn,middle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Kayn,jungle,diamond
Jinx,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Talon,middle,diamond
Talon,middle,diamond
Singed,top,diamond
Talon,middle,diamond
Talon,middle,diamond
Talon,middle,diamond
Singed,top,diamond
Talon,middle,diamond
Singed,top,diamond
Singed,top,diamond
Kaisa,bottom,diamond
Kaisa,bottom,diamond
Tristana,bottom,diamond
Jayce,top,diamond
Jayce,top,diamond
Twitch,bottom,diamond
Yone,top,diamond
Kaisa,bottom,diamond
Kaisa,bottom,diamond
Garen,top,diamond
Maokai,jungle,diamond
Taliyah,jungle,diamond
Maokai,jungle,diamond
JarvanIV,jungle,diamond
Sejuani,jungle,diamond
Caitlyn,bottom,diamond
Xayah,bottom,diamond
Caitlyn,bottom,diamond
Aatrox,top,diamond
Caitlyn,bottom,diamond
Caitlyn,bottom,diamond
Aatrox,top,diamond
Kaisa,bottom,diamond
Aatrox,top,diamond
Rengar,jungle,diamond
Rengar,jungle,diamond
Rengar,jungle,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Neeko,top,diamond
Jax,top,diamond
Jax,top,diamond
Fizz,middle,diamond
Fizz,middle,diamond
KSante,top,diamond
Tryndamere,top,diamond
Jax,top,diamond
Jax,top,diamond
Jax,top,diamond
Jax,top,diamond
Riven,top,diamond
Ezreal,bottom,diamond
Yone,middle,diamond
Zed,middle,diamond
Hecarim,jungle,diamond
Viego,jungle,diamond
Graves,jungle,diamond
Rengar,jungle,diamond
Graves,jungle,diamond
Rengar,jungle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Akshan,middle,diamond
Yasuo,middle,diamond
Ekko,middle,diamond
Yasuo,middle,diamond
KSante,top,diamond
Yasuo,top,diamond
Poppy,top,diamond
Khazix,jungle,diamond
Khazix,jungle,diamond
Yone,middle,diamond
KSante,middle,diamond
KSante,middle,diamond
KSante,middle,diamond
Yone,middle,diamond
TwistedFate,middle,diamond
Sylas,middle,diamond
